Ax,Ay,Az,Gx,Gy,Gz
0.6158079039519759,0.4243182386790093,0.7393044783587692,0.5093238223136892,0.4998011755062176,0.4413066606205417
0.5030015007503751,0.4998749061796348,0.7530647985989494,0.5007168146223206,0.4942009522646807,0.5004883408619216
0.5032516258129064,0.4983737803352516,1.0000000000000002,1.0,0.0003662556464412,1.0
0.8154077038519258,0.0983237428071053,0.6389792344258195,0.4575300416833807,0.5846364476690444,0.279055409247083
0.5040020010005002,1.0000000000000002,0.9196897673254942,0.6465929504508433,0.9771404154385476,0.0
0.5027513756878439,0.4998749061796348,0.7525644233174882,0.5007325112928824,0.4942009522646807,0.5005040375324834
0.4214607303651825,0.5869402051538656,0.6870152614460847,0.6892931266023684,0.4205835673299963,1.0
1.0,0.5469101826369779,0.490367775831874,1.0,0.0,0.8345134904163105
0.055527763881941,0.4583437578183639,0.7317988491368528,0.6206498421612572,1.0,0.0
0.5255127563781891,0.4620965724293221,0.7508131098323744,0.3501560946683643,1.0,0.7383556865549297
0.3854427213606803,0.4423317488116088,0.8406304728546412,1.0,0.790838376615449,0.6354221532343862
0.5147573786893446,0.4500875656742558,0.7700775581686266,0.3301794652667562,0.4743324554824982,1.0
0.6695847923961981,0.5339004253189894,0.7495621716287216,0.592631285208504,0.5162530303294557,0.0
0.2356178089044522,0.6347260445334002,0.8368776582436829,0.7635052409438932,0.5118422659015993,1.0
0.3016508254127063,0.4420815611708782,0.5696772579434577,0.4970699548284703,0.0,0.1275633535064618
0.694097048524262,0.6629972479359522,0.7575681761320991,0.0757381795350297,0.4579573399375621,0.6237647592305143
0.5025012506253126,0.4998749061796348,0.7528146109582188,0.500687165355704,0.4940945637197621,0.5004569475207981
0.0,0.910933199899925,0.0,0.2037602246367965,1.0,0.6398032683956258
0.5025012506253126,0.4998749061796348,0.7528146109582188,0.5006261227479638,0.4941399096569405,0.5004429949247432
0.4707353676838419,0.7388041030773081,0.6197147860895673,0.0,0.5093098697176344,0.5063937771421595
0.4274637318659329,0.8531398548911686,0.9869902426820116,0.0,0.9924150199696532,0.8530250972321537
0.0,1.0000000000000002,0.6402301726294722,0.4260006627483126,1.0,0.982008127387202
0.8106553276638317,0.7705779334500877,0.0545409056792594,1.0,0.0,0.0
0.5025012506253126,0.5001250938203654,0.7528146109582188,0.500763904634006,0.4941852555941189,0.5004272982541814
0.4504752376188093,0.7072804603452592,0.498123592694521,0.9638627762178,0.5026248321328287,0.665974850445611
0.4524762381190594,0.8794095571678762,0.5208906680010008,0.4410328409229642,0.3565655684810855,0.4455953398329176
0.2493746873436718,0.531898924193145,0.625969477107831,0.1061373981896506,0.0,0.0
0.9879939969984992,0.5308981736302228,0.7738303727795848,0.6323560702513211,0.0045624989099534,1.0
0.3336668334167083,0.4873655241431074,0.58443832874656,0.3438530094005616,1.0,0.6954898233252524
